Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
1948,1999,Beau Travail,Drama,UNRATED,movie,7.3,92 min,Claire Denis,"Claire Denis, Jean-Pol Fargeau, Herman Melville (story ""Billy Budd,  Sailor"")","Denis Lavant, Michel Subor, Grégoire Colin, Richard Courcet","French, Italian, Russian",France,6 wins & 10 nominations.,"5,212",tt0209933
1950,1986,The Seventh Curse,"Action, Horror",N/A,movie,6.3,78 min,Ngai Choi Lam,"Jing Wong (screenplay), Kai-Chi Yuen","Yun-Fat Chow, Siu-Ho Chin, Maggie Cheung, Ken Boyle","Cantonese, English",Hong Kong,0,589,tt0092273
1951,1990,Faces of Death IV,"Documentary, Horror",UNRATED,movie,2.9,90 min,"John Alan Schwartz, Susumu Saegusa, Andrew Theopolis",James B. Schwartz,"James B. Schwartz, John Zimmerman",English,"USA, Japan",0,883,tt0121262
1952,1956,Anything Goes,Musical,N/A,movie,6.2,106 min,Robert Lewis,"Guy Bolton (play), P.G. Wodehouse (play), Sidney Sheldon","Bing Crosby, Donald O'Connor, Zizi Jeanmaire, Mitzi Gaynor",English,USA,0,670,tt0048954
1954,2000,Deliberate Intent,"Thriller, Drama",PG-13,movie,5.7,85 min,Andy Wolk,"Andy Wolk, Lisa Mohan","Timothy Hutton, Ron Rifkin, Clark Johnson, Penny Johnson Jerald",English,USA,1 nomination.,296,tt0251662
1955,1999,The Story of Us,"Comedy, Drama, Romance",R,movie,5.9,95 min,Rob Reiner,"Alan Zweibel, Jessie Nelson","Bruce Willis, Michelle Pfeiffer, Colleen Rennison, Jake Sandvig","English, Italian",USA,1 win & 4 nominations.,"18,434",tt0160916
1959,1961,Splendor in the Grass,"Drama, Romance",UNRATED,movie,7.8,124 min,Elia Kazan,William Inge,"Natalie Wood, Pat Hingle, Audrey Christie, Barbara Loden",English,USA,Won 1 Oscar. Another 2 wins & 7 nominations.,"13,682",tt0055471
1962,2004,50 First Dates,"Comedy, Romance",PG-13,movie,6.8,99 min,Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin","English, Hawaiian, Mandarin, Turkish",USA,6 wins & 9 nominations.,"268,524",tt0343660
1963,2000,Beautiful Creatures,"Comedy, Thriller, Crime",R,movie,5.9,86 min,Bill Eagles,Simon Donald (screenplay),"Susan Lynch, Iain Glen, Jake D'Arcy, Rachel Weisz","English, German",UK,1 nomination.,"3,049",tt0221889
1965,1998,Slam,Drama,R,movie,7.2,100 min,Marc Levin,"Marc Levin (story), Richard Stratton (story), Sonja Sohn, Marc Levin, Bonz Malone, Saul Williams, Richard Stratton","Saul Williams, Sonja Sohn, Bonz Malone, Lawrence Wilson",English,USA,4 wins & 3 nominations.,"1,982",tt0139615
1967,1964,Diary of a Chambermaid,"Crime, Drama",NOT RATED,movie,7.6,101 min,Luis Buñuel,"Octave Mirbeau (based on the novel by), Luis Buñuel (adaptation), Jean-Claude Carrière (adaptation)","Jeanne Moreau, Georges Géret, Michel Piccoli, Françoise Lugagne",French,"Italy, France",1 win & 1 nomination.,"6,110",tt0058249
1969,1954,The Caine Mutiny,"Drama, War",APPROVED,movie,7.9,124 min,Edward Dmytryk,"Stanley Roberts (screen play), Michael Blankfort (additional dialogue), Herman Wouk (based upon the Pulitzer Prize winning novel by)","Humphrey Bogart, José Ferrer, Van Johnson, Fred MacMurray",English,USA,Nominated for 7 Oscars. Another 6 nominations.,"20,320",tt0046816
1971,1995,Under Siege 2: Dark Territory,"Action, Thriller",R,movie,5.4,100 min,Geoff Murphy,"Richard Hatem, Matt Reeves, J.F. Lawton (characters)","Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl",English,USA,0,"36,097",tt0114781
1972,1953,Gentlemen Prefer Blondes,"Comedy, Crime, Musical",NOT RATED,movie,7.3,91 min,Howard Hawks,"Charles Lederer (screen play), Joseph Fields (based on the musical comedy by), Anita Loos (based on the musical comedy by)","Jane Russell, Marilyn Monroe, Charles Coburn, Elliott Reid","English, French",USA,1 nomination.,"22,832",tt0045810
1975,2000,Hollow Man,"Action, Horror, Sci-Fi",R,movie,5.7,112 min,Paul Verhoeven,"Gary Scott Thompson (story), Andrew W. Marlowe (story), Andrew W. Marlowe (screenplay)","Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",English,"USA, Germany",Nominated for 1 Oscar. Another 7 wins & 9 nominations.,"102,586",tt0164052
1976,2000,Here on Earth,"Drama, Romance",PG-13,movie,5.1,96 min,Mark Piznarski,Michael Seitzman,"Chris Klein, Leelee Sobieski, Josh Hartnett, Michael Rooker",English,USA,2 nominations.,"7,449",tt0195778
1981,2000,Needing You,"Romance, Comedy",N/A,movie,6.8,101 min,"Johnnie To, Ka-Fai Wai","Cindy Tang (story), Ka-Fai Wai, Nai-Hoi Yau","Andy Lau, Sammi Cheng, Fiona Leung, Raymond Ho-Yin Wong","Cantonese, English, Mandarin, Indonesian, American Sign Language",Hong Kong,1 win & 6 nominations.,"1,053",tt0244092
1982,2001,Strange Frequency,"Comedy, Fantasy, Horror",PG-13,movie,6.3,120 min,"Mary Lambert, Bryan Spicer","Joseph Anaya, Dale Kutzera, Dan Merchant","Martin Cummins, Christopher Masterson, Brandy Ledford, Danny Masterson",English,USA,0,506,tt0274906
1983,2001,Final Fantasy: The Spirits Within,"Animation, Action, Adventure",PG-13,movie,6.4,106 min,"Hironobu Sakaguchi, Motonori Sakakibara","Hironobu Sakaguchi (story), Al Reinert, Jeff Vintar, Jack Fletcher (additional dialogue), Ramin Mebdy (Farsi adaptation), B.L. Jurgens (story editor)","Ming-Na Wen, Alec Baldwin, Ving Rhames, Steve Buscemi",English,"USA, Japan",2 wins & 9 nominations.,"72,955",tt0173840
1985,1993,Oh My Goddess!,"Animation, Comedy, Drama",PG-13,movie,7.6,160 min,"Hiroaki Gôda, Scott Houle","Kôsuke Fujishima (comic), Kôsuke Fujishima (screenplay), Naoko Hasegawa","Kikuko Inoue, Masami Kikuchi, Yumi Tôma, Aya Hisakawa",Japanese,Japan,0,897,tt0107731
1986,2003,Armaan,"Drama, Family, Romance",N/A,movie,5.4,158 min,Honey Irani,"Javed Akhtar (dialogue), Javed Akhtar (screenplay), Honey Irani (screenplay), Honey Irani (story)","Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh",Hindi,India,4 nominations.,916,tt0331851
1987,1983,The Dresser,Drama,PG,movie,7.7,118 min,Peter Yates,Ronald Harwood (screenplay),"Albert Finney, Tom Courtenay, Edward Fox, Zena Walker",English,UK,Nominated for 5 Oscars. Another 5 wins & 12 nominations.,"3,660",tt0085461
1991,1998,Love is the Devil,"Biography, Drama, Romance",UNRATED,movie,6.5,91 min,John Maybury,John Maybury,"Derek Jacobi, Daniel Craig, Tilda Swinton, Anne Lambton",English,"UK, France, Japan, USA",7 wins & 2 nominations.,"2,625",tt0119577
1993,1994,The Night and the Moment,Drama,R,movie,5.7,90 min,Anna Maria Tatò,"Jean-Claude Carrière, Claude-Prosper de Jolyot Crebillon (novel), Anna Maria Tatò","Ivan Bacciocchi, Jean-Claude Carrière, Axelle Cummings, Willem Dafoe",English,"UK, France, Italy",1 nomination.,219,tt0110665
1995,2000,Tick Tock,"Thriller, Crime, Drama",R,movie,6.3,93 min,Kevin Tenney,Kevin Tenney,"Megan Ward, Kristin Minter, Linden Ashby, John Ratzenberger",English,USA,0,512,tt0169324
1996,1970,There's a Girl in My Soup,"Comedy, Romance",R,movie,5.7,96 min,Roy Boulting,"Terence Frisby (screenplay), Terence Frisby (based on his stage play of the same name), Peter Kortner (additional dialogue)","Peter Sellers, Goldie Hawn, Tony Britton, Ruth Trouncer","English, French","UK, USA",Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,"1,672",tt0066449
1999,1989,Coming Out,"Drama, Romance",UNRATED,movie,7,113 min,Heiner Carow,"Erika Richter (dramatisation), Wolfram Witt (scenario)","Matthias Freihof, Dagmar Manzel, Dirk Kummer, Michael Gwisdek",German,East Germany,4 wins & 1 nomination.,"1,214",tt0097095
2000,1994,Four Weddings and a Funeral,"Comedy, Drama, Romance",R,movie,7.1,117 min,Mike Newell,Richard Curtis,"Hugh Grant, James Fleet, Simon Callow, John Hannah","English, British Sign Language",UK,Nominated for 2 Oscars. Another 24 wins & 21 nominations.,"109,124",tt0109831
2001,1992,Under Siege,"Action, Thriller",R,movie,6.4,103 min,Andrew Davis,J.F. Lawton,"Steven Seagal, Damian Chapa, Troy Evans, David McKnight","English, Italian","France, USA",Nominated for 2 Oscars. Another 3 wins & 1 nomination.,"61,680",tt0105690
2003,1974,Truck Turner,"Action, Crime, Thriller",R,movie,7,91 min,Jonathan Kaplan,"Oscar Williams (screenplay), Michael Allin (screenplay), Jerry Wilkes (story)","Isaac Hayes, Yaphet Kotto, Alan Weeks, Annazette Chase",English,USA,0,"1,756",tt0072325
2004,2001,She Creature,"Fantasy, Horror, Thriller",R,movie,5.9,91 min,Sebastian Gutierrez,Sebastian Gutierrez,"Rufus Sewell, Carla Gugino, Jim Piddock, Reno Wilson",English,USA,1 win & 3 nominations.,"2,891",tt0274659
2005,1995,Ice Cream Man,"Comedy, Horror, Thriller",R,movie,4.7,84 min,Paul Norman,"David Dobkin (original story), David Dobkin, Sven Davison","Clint Howard, Justin Isfeld, Anndi McAfee, JoJo Adams",English,USA,0,"1,756",tt0113376
2006,1999,Simpatico,"Drama, Comedy, Crime",R,movie,4.5,106 min,Matthew Warchus,"Sam Shepard (original play), Matthew Warchus (screenplay), David Nicholls (screenplay)","Nick Nolte, Jeff Bridges, Sharon Stone, Catherine Keener",English,"UK, France, USA",1 nomination.,"2,987",tt0174204
2007,1998,Kiss the Sky,"Drama, Romance",R,movie,6.1,107 min,Roger Young,Eric Lerner,"William Petersen, Gary Cole, Sheryl Lee, Patricia Charbonneau","English, Filipino",USA,0,674,tt0127629
2009,1999,The Talented Mr. Ripley,"Crime, Drama, Thriller",R,movie,7.3,139 min,Anthony Minghella,"Patricia Highsmith (novel), Anthony Minghella (screenplay)","Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett","English, Italian",USA,Nominated for 5 Oscars. Another 10 wins & 75 nominations.,"138,773",tt0134119
2010,1963,The Courtship of Eddie's Father,"Comedy, Drama, Family",APPROVED,movie,6.8,118 min,Vincente Minnelli,"John Gay (screenplay), Mark Toby (based on the novel by)","Glenn Ford, Shirley Jones, Stella Stevens, Dina Merrill",English,USA,3 nominations.,"1,856",tt0056956
2011,1997,Turbo: A Power Rangers Movie,"Action, Adventure, Family",PG,movie,3.4,99 min,"Shuki Levy, David Winning","Shuki Levy, Shell Danielson","Jon Simanton, Kai Doi, Greg Collins, Steve Cardenas",English,"USA, Japan",1 nomination.,"6,618",tt0120389
2012,2002,The Importance of Being Earnest,"Comedy, Drama, Romance",PG,movie,6.9,97 min,Oliver Parker,"Oscar Wilde (play), Oliver Parker (screenplay)","Rupert Everett, Colin Firth, Frances O'Connor, Reese Witherspoon","English, German","UK, USA",2 wins & 2 nominations.,"19,137",tt0278500
2013,2002,Borderline,"Crime, Thriller",R,movie,5.3,94 min,Evelyn Purcell,David Loucka,"Gina Gershon, Michael Biehn, Sean Patrick Flanery, Natasha Napoli",English,"Germany, USA, South Africa",0,"1,077",tt0315312
2015,2002,Talk to Her,"Drama, Mystery, Romance",R,movie,8,112 min,Pedro Almodóvar,Pedro Almodóvar,"Javier Cámara, Darío Grandinetti, Leonor Watling, Rosario Flores",Spanish,Spain,Won 1 Oscar. Another 42 wins & 42 nominations.,"86,652",tt0287467
2016,2002,The Magdalene Sisters,Drama,R,movie,7.8,114 min,Peter Mullan,Peter Mullan,"Geraldine McEwan, Anne-Marie Duff, Nora-Jane Noone, Dorothy Duffy","English, Latin","Ireland, UK",Nominated for 1 BAFTA Film Award. Another 18 wins & 14 nominations.,"22,326",tt0318411
2017,1991,The People Under the Stairs,"Comedy, Horror, Mystery",R,movie,6.3,102 min,Wes Craven,Wes Craven,"Brandon Quintin Adams, Everett McGill, Wendy Robie, A.J. Langer",English,USA,2 wins & 5 nominations.,"24,099",tt0105121
2021,1922,Robin Hood,"Adventure, Romance, Family",N/A,movie,7.7,143 min,Allan Dwan,Douglas Fairbanks (story),"Wallace Beery, Sam De Grasse, Enid Bennett, Paul Dickey",English,USA,1 win.,"1,545",tt0013556
2022,1947,Dead Reckoning,"Crime, Drama, Film-Noir",PASSED,movie,7.2,100 min,John Cromwell,"Oliver H.P. Garrett (screenplay), Steve Fisher (screenplay), Allen Rivkin (adaptation), Gerald Drayson Adams (story), Sidney Biddell (story)","Humphrey Bogart, Lizabeth Scott, Morris Carnovsky, Charles Cane",English,USA,0,"4,566",tt0039305
2027,1957,Fire Down Below,"Adventure, Drama",NOT RATED,movie,6.1,116 min,Robert Parrish,"Irwin Shaw (screenplay), Max Catto (novel)","Rita Hayworth, Robert Mitchum, Jack Lemmon, Herbert Lom",English,"UK, USA",0,"1,024",tt0050397
2028,1991,Poison,"Drama, Horror, Romance",NC-17,movie,6.5,85 min,Todd Haynes,"Jean Genet (inspired by the novels of Jean Genet with quotations from ""Miracle of the Rose"",  ""Our Lady of the Flowers"" and ""Thief's Journal""), Todd Haynes","Edith Meeks, Millie White, Buck Smith, Anne Giotta",English,USA,4 wins & 6 nominations.,"2,521",tt0102687
2029,2002,Project Viper,"Action, Horror, Sci-Fi",R,movie,3.5,85 min,Jim Wynorski,"Curtis Joseph, David Mason","Patrick Muldoon, Theresa Russell, Curtis Armstrong, Joe Avalon",English,USA,0,494,tt0310024
2033,2004,Head in the Clouds,"Drama, Romance, War",R,movie,6.6,132 min,John Duigan,John Duigan,"Charlize Theron, Penélope Cruz, Stuart Townsend, Thomas Kretschmann","English, German, French, Spanish","UK, Canada",6 wins & 5 nominations.,"12,615",tt0338097
2037,1985,Fright Night,"Fantasy, Horror, Thriller",R,movie,7.1,106 min,Tom Holland,Tom Holland,"Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall",English,USA,5 wins & 4 nominations.,"43,323",tt0089175
2043,1953,Shane,"Drama, Romance, Western",APPROVED,movie,7.7,118 min,George Stevens,"A.B. Guthrie Jr. (screenplay), Jack Sher (additional dialogue), Jack Schaefer (based on the novel by)","Alan Ladd, Jean Arthur, Van Heflin, Brandon De Wilde",English,USA,Won 1 Oscar. Another 3 wins & 10 nominations.,"28,260",tt0046303
2046,2001,Invincible,"Drama, War",PG-13,movie,6.6,133 min,Werner Herzog,Werner Herzog,"Tim Roth, Jouko Ahola, Anna Gourari, Max Raabe",English,"UK, Germany, Ireland, USA",0,"3,535",tt0245171
2048,1966,The Glass Bottom Boat,"Comedy, Romance",APPROVED,movie,6.5,110 min,Frank Tashlin,Everett Freeman,"Doris Day, Rod Taylor, Arthur Godfrey, John McGiver",English,USA,1 nomination.,"3,111",tt0060463
2051,1984,Tightrope,"Mystery, Thriller",R,movie,6.3,114 min,Richard Tuggle,Richard Tuggle (screenplay),"Clint Eastwood, Geneviève Bujold, Dan Hedaya, Alison Eastwood",English,USA,1 nomination.,"11,675",tt0088272
2053,1998,Ground Control,"Action, Adventure, Drama",PG-13,movie,5.7,93 min,Richard Howard,"Talaat Captan (story), Robert Moreland (story), Mark Shepherd (screenplay), Robert Moreland (screenplay)","Kiefer Sutherland, Bruce McGill, Kristy Swanson, Robert Sean Leonard",English,USA,0,"1,903",tt0137799
2054,1989,Nick Knight,Horror,N/A,movie,6.5,92 min,Farhad Mann,"Barney Cohen (story), James D. Parriott (story), James D. Parriott (teleplay)","Rick Springfield, John Kapelos, Robert Harper, Richard Fancy",English,USA,0,348,tt0097969
2055,1994,Andaz Apna Apna,"Comedy, Family, Romance",PG,movie,8.7,160 min,Rajkumar Santoshi,"Rajkumar Santoshi (dialogue), Rajkumar Santoshi (screenplay), Rajkumar Santoshi (story), Dilip Shukla (dialogue)","Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor",Hindi,India,4 nominations.,"32,255",tt0109117
2059,1966,The Ugly Dachshund,"Comedy, Family",N/A,movie,6.7,93 min,Norman Tokar,"Albert Aley (screenplay), G.B. Stern (book)","Dean Jones, Suzanne Pleshette, Charles Ruggles, Kelly Thordsen","English, Japanese",USA,0,"2,364",tt0061135
2060,1972,Fuzz,"Action, Comedy, Crime",PG,movie,5.5,92 min,Richard A. Colla,"Evan Hunter (novel), Evan Hunter (screenplay)","Burt Reynolds, Jack Weston, Tom Skerritt, Raquel Welch",English,USA,0,"1,050",tt0068617
2065,2001,I Love Budapest,"Drama, Romance",N/A,movie,5.9,100 min,Ágnes Incze,Ágnes Incze,"Gabriella Hámori, Martina Kovács, Sándor Csányi, Tamás Lengyel",Hungarian,Hungary,5 wins.,273,tt0269792
2071,1998,Ballistic Kiss,"Action, Drama, Thriller",N/A,movie,5.6,92 min,Donnie Yen,"Bey Logan, Donnie Yen","Donnie Yen, Annie Wu, Jimmy Ga Lok Wong, Simon Lui","Cantonese, English",Hong Kong,0,281,tt0162874
2072,1989,K-9,"Action, Comedy, Crime",PG-13,movie,5.9,101 min,Rod Daniel,"Steven Siegel, Scott Myers","Jim Belushi, Mel Harris, Kevin Tighe, Ed O'Neill",English,USA,0,"25,883",tt0097637
2074,1998,Babylon 5: The River of Souls,"Action, Adventure, Drama",N/A,movie,6.6,94 min,Janet Greek,"J. Michael Straczynski (creator), J. Michael Straczynski","Jerry Doyle, Tracy Scoggins, Jeff Conaway, Richard Biggs",English,USA,1 nomination.,"3,405",tt0146247
2076,2002,The Saddle Club: Adventures at Pine Hollow,Family,N/A,movie,8.1,85 min,"Steve Mann, Chris Martin-Jones, Peter Sharp","Annie Beach, Bonnie Bryant (novel), Sarah Dodd, Graeme Farmer, Helen Steel","Sophie Bennett, Keenan Macwilliam, Lara Jean Marshall",English,Australia,0,35,tt2456850
2078,2002,Half Past Dead,"Action, Crime, Thriller",PG-13,movie,4.6,98 min,Don Michael Paul,Don Michael Paul,"Steven Seagal, Morris Chestnut, Ja Rule, Nia Peeples",English,"Germany, USA",4 nominations.,"12,347",tt0297162
2079,1987,Family Viewing,Drama,NOT RATED,movie,6.7,86 min,Atom Egoyan,Atom Egoyan,"David Hemblen, Aidan Tierney, Gabrielle Rose, Arsinée Khanjian",English,Canada,3 wins & 9 nominations.,"1,022",tt0093006
2080,2001,Holiday in the Sun,"Comedy, Crime, Family",G,movie,5,87 min,Steve Purcell,"Brent Goldberg, David Wagner","Mary-Kate Olsen, Ashley Olsen, Austin Nichols, Ben Easter",English,USA,0,"3,568",tt0297169
2082,1998,Postmortem,Thriller,R,movie,5.5,105 min,Albert Pyun,"John Lowry Lamb, Robert McDonnell","Charlie Sheen, Michael Halsey, Ivana Milicevic, Stephen McCole",English,USA,0,"1,729",tt0130192
2083,1955,Blood Alley,"Action, Adventure",APPROVED,movie,6.3,110 min,"William A. Wellman, John Wayne","Albert Sidney Fleischman (screenplay), Albert Sidney Fleischman (novel)","John Wayne, Lauren Bacall, Paul Fix, Joy Kim",English,USA,0,"2,129",tt0047889
2084,2000,Healing Hearts,"Drama, Romance",N/A,movie,6.2,107 min,Tut-Hei Tang,Tut-Hei Tang,"Tony Chiu Wai Leung, Kenny Bee, Michelle Reis, Esther Kwan",Cantonese,Hong Kong,0,167,tt0266067
2086,2000,Endless Summer Revisited,Documentary,NOT RATED,movie,6.7,70 min,Dana Brown,Dana Brown,"Hobie Alter, Robert August, Bruce Brown, Dana Brown",English,USA,0,43,tt0443740
2087,1998,Pete's Meteor,"Crime, Drama",R,movie,4.8,92 min,Joe O'Byrne,Joe O'Byrne,"Brenda Fricker, Alfred Molina, Mike Myers, John Kavanagh",English,Ireland,1 win.,286,tt0126423
2093,2000,Rated X,"Biography, Drama",R,movie,5.9,115 min,Emilio Estevez,"David McCumber (book), Norman Snider (screenplay), Anne Meredith (screenplay), David Hollander (screenplay)","Charlie Sheen, Emilio Estevez, Rafer Weigel, Tracy Hutson",English,USA,1 win & 1 nomination.,"2,972",tt0201776
2095,1997,Liar Liar,"Comedy, Fantasy",PG-13,movie,6.8,86 min,Tom Shadyac,"Paul Guay, Stephen Mazur","Jim Carrey, Maura Tierney, Justin Cooper, Cary Elwes",English,USA,Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.,"223,694",tt0119528
2097,1993,A Far Off Place,"Adventure, Drama, Family",PG,movie,6.6,108 min,Mikael Salomon,"Laurens van der Post (books), Robert Caswell (screenplay), Jonathan Hensleigh (screenplay), Sally Robinson (screenplay)","Reese Witherspoon, Ethan Embry, Jack Thompson, Sarel Bok",English,USA,0,"2,815",tt0106868
2099,2005,Gas,Drama,N/A,movie,5.6,112 min,Luciano Melchionna,"Alexandra La Capria, Luciano Melchionna","Lorenzo Balducci, Francesco Venditti, Moran Atias, Sandro Giordano","English, Italian","UK, Italy",1 nomination.,117,tt0436345
2100,1997,Bliss,"Drama, Romance",R,movie,6,103 min,Lance Young,Lance Young,"Craig Sheffer, Sheryl Lee, Terence Stamp, Casey Siemaszko",English,"Canada, USA",0,"1,629",tt0118742
2103,1999,Sunshine,"Drama, History, Romance",R,movie,7.5,181 min,István Szabó,"István Szabó (story), István Szabó (screenplay), Israel Horovitz (screenplay)","Ralph Fiennes, Rosemary Harris, Rachel Weisz, Jennifer Ehle","English, French","Germany, Austria, Canada, Hungary, France",Nominated for 3 Golden Globes. Another 11 wins & 14 nominations.,"11,163",tt0145503
2104,1989,Kickboxer,"Action, Sport",R,movie,6.4,97 min,"Mark DiSalle, David Worth","Mark DiSalle (story), Glenn A. Bruce (screenplay), Jean-Claude Van Damme (story)","Jean-Claude Van Damme, Dennis Alexio, Dennis Chan, Michel Qissi",English,USA,0,"37,206",tt0097659
2107,1981,Earth,"Action, Adventure, Sci-Fi",N/A,movie,5.2,96 min,"Barry Crane, Sidney Hayers, Sigmund Neufeld Jr.","Glen A. Larson (creator), Glen A. Larson","Kent McCord, Barry Van Dyke, Robyn Douglass, Lorne Greene",English,USA,0,370,tt0080559
2109,1982,Grease 2,"Comedy, Drama, Musical",PG,movie,4.2,115 min,Patricia Birch,Ken Finkleman,"Maxwell Caulfield, Michelle Pfeiffer, Lorna Luft, Maureen Teefy",English,USA,3 nominations.,"26,357",tt0084021
2112,2003,Identity,"Mystery, Thriller",R,movie,7.3,90 min,James Mangold,Michael Cooney,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes",English,USA,1 win & 8 nominations.,"180,088",tt0309698
2116,1982,Halloween III: Season of the Witch,"Horror, Mystery, Sci-Fi",R,movie,4.6,98 min,Tommy Lee Wallace,Tommy Lee Wallace,"Tom Atkins, Stacey Nelkin, Dan O'Herlihy, Michael Currie",English,USA,1 nomination.,"28,632",tt0085636
2118,1944,It Happened Tomorrow,"Comedy, Fantasy",APPROVED,movie,7.2,85 min,René Clair,"Lord Dunsany (play), Hugh Wedlock Jr. (story), Howard Snyder (novel), Lewis R. Foster (ideas), Dudley Nichols (adaptation), René Clair (adaptation), Helene Fraenkel (additional dialogue)","Dick Powell, Linda Darnell, Jack Oakie, Edgar Kennedy",English,USA,0,"1,392",tt0036962
2119,1998,Praise,Drama,N/A,movie,6.9,98 min,John Curran,"Andrew McGahan (novel), Andrew McGahan (screenplay)","Peter Fenton, Sacha Horler, Marta Dusseldorp, Ray Bull",English,Australia,8 wins & 14 nominations.,511,tt0147192
2121,1951,Pandora and the Flying Dutchman,"Drama, Fantasy, Mystery",APPROVED,movie,7.1,122 min,Albert Lewin,"Albert Lewin (story and screenplay), Omar Khayyam (quotation)","James Mason, Ava Gardner, Nigel Patrick, Sheila Sim","English, Spanish",UK,3 nominations.,"2,134",tt0043899
2122,1999,Being John Malkovich,"Comedy, Drama, Fantasy",R,movie,7.8,112 min,Spike Jonze,Charlie Kaufman,"John Cusack, Cameron Diaz, Ned Bellamy, Eric Weinstein",English,USA,Nominated for 3 Oscars. Another 48 wins & 75 nominations.,"257,155",tt0120601
2123,1984,Full Moon in Paris,"Drama, Romance",R,movie,7.6,102 min,Éric Rohmer,Éric Rohmer,"Pascale Ogier, Tchéky Karyo, Fabrice Luchini, Virginie Thévenet",French,France,2 wins & 6 nominations.,"2,219",tt0087821
2125,1954,Devil Girl from Mars,Sci-Fi,APPROVED,movie,5,77 min,David MacDonald,"John C. Mather (play), James Eastwood (play), James Eastwood (screenplay)","Patricia Laffan, Hugh McDermott, Hazel Court, Peter Reynolds",English,UK,0,784,tt0046907
2128,1993,Rudy,"Biography, Drama, Sport",PG,movie,7.5,114 min,David Anspaugh,Angelo Pizzo,"Sean Astin, Jon Favreau, Ned Beatty, Greta Lind","English, Spanish",USA,2 wins & 1 nomination.,"42,913",tt0108002
2131,2002,Sex Is Comedy,"Comedy, Drama, Romance",R,movie,5.7,92 min,Catherine Breillat,Catherine Breillat,"Anne Parillaud, Grégoire Colin, Roxane Mesquida, Ashley Wanninger","French, Portuguese","France, Portugal",0,"2,340",tt0304678
2135,1997,Nothing to Lose,"Action, Adventure, Comedy",R,movie,6.7,98 min,Steve Oedekerk,Steve Oedekerk,"Martin Lawrence, Tim Robbins, John C. McGinley, Giancarlo Esposito",English,USA,1 win.,"36,617",tt0119807
2136,2001,Not Another Teen Movie,Comedy,R,movie,5.7,89 min,Joel Gallen,"Mike Bender, Adam Jay Epstein, Andrew Jacobson, Phil Beauman, Buddy Johnson","Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen",English,USA,5 nominations.,"80,833",tt0277371
2137,1997,Excess Baggage,"Action, Comedy, Crime",PG-13,movie,5.2,101 min,Marco Brambilla,"Max D. Adams (story), Max D. Adams (screenplay), Dick Clement (screenplay), Ian La Frenais (screenplay)","Alicia Silverstone, Benicio Del Toro, Christopher Walken, Jack Thompson",English,USA,2 wins & 3 nominations.,"10,909",tt0119086
2139,1986,The Color of Money,"Drama, Sport",R,movie,7,119 min,Martin Scorsese,"Walter Tevis (novel), Richard Price (screenplay)","Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver","English, Spanish",USA,Won 1 Oscar. Another 1 win & 9 nominations.,"58,343",tt0090863
2140,1991,For the Boys,"Comedy, Drama, Music",R,movie,6.3,138 min,Mark Rydell,"Neal Jimenez (story), Lindy Laub (story), Marshall Brickman (screenplay), Neal Jimenez (screenplay), Lindy Laub (screenplay)","Bette Midler, James Caan, George Segal, Patrick O'Neal",English,USA,Nominated for 1 Oscar. Another 1 win & 2 nominations.,"4,202",tt0101902
2141,2001,Brief Crossing,"Comedy, Drama, Romance",UNRATED,movie,7,84 min,Catherine Breillat,Catherine Breillat,"Sarah Pratt, Gilles Guillain, Marc Filipi, Laëtitia Lopez","French, English",France,3 wins.,"1,239",tt0299594
2148,1987,From the Hip,"Comedy, Crime, Drama",PG,movie,6.2,111 min,Bob Clark,"Bob Clark, David E. Kelley (screenplay), David E. Kelley (story)","Judd Nelson, Elizabeth Perkins, John Hurt, Darren McGavin",English,USA,1 nomination.,"1,744",tt0093051
2149,1998,Buffalo '66,"Comedy, Crime, Drama",R,movie,7.5,110 min,Vincent Gallo,"Vincent Gallo (story), Vincent Gallo (screenplay), Alison Bagnall (screenplay)","Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke",English,"USA, Canada",6 wins & 11 nominations.,"36,965",tt0118789
2150,1980,The Return of the King,"Animation, Action, Adventure",NOT RATED,movie,5.7,98 min,"Jules Bass, Arthur Rankin Jr.","J.R.R. Tolkien (novels), Romeo Muller (adapted for the screen)","Orson Bean, Theodore Bikel, William Conrad, John Huston",English,USA,0,"2,816",tt0079802
