Number,Year,Title,Genre,Rated,Type,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbRating,NetflixRating
14131,2003.0,Dickie Roberts: Former Child Star,3.1538461538461537,3.3125,4.0,98,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,2,6,3.0
14312,1993.0,Jurassic Park,3.314245014245014,3.3125,4.0,127,3.0,3.0,3.125,3.178546274123116,3.2941176470588234,48,9,3.0
14367,1998.0,Lethal Weapon 4,3.26943140323422,3.2211538461538463,4.0,127,3.0,3.066666666666667,3.125,3.208636584182436,3.2941176470588234,15,7,3.0
14382,1987.0,Raising Arizona,3.1880341880341883,3.3125,4.0,94,2.0,2.0,2.375,3.2925764192139737,3.2941176470588234,4,8,2.0
14410,2002.0,Spider-Man,3.2823943661971833,3.3125,4.0,121,3.5,3.0,3.125,3.2925764192139737,3.2941176470588234,72,8,3.0
14476,2004.0,Barbershop 2: Back in Business,3.2474657125819917,3.3125,4.0,106,3.0,3.0,3.675,3.2925764192139737,3.2941176470588234,12,6,3.0
14576,2003.0,DysFunktional Family,3.1324786324786325,3.2211538461538463,4.0,89,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,0,7,4.0
14698,2002.0,White Oleander,3.3410852713178296,3.3125,4.0,109,4.0,4.0,4.0,3.396288209606987,3.2941176470588234,10,8,4.0
14759,2002.0,K-19: The Widowmaker,3.409991386735573,3.3125,4.0,138,3.0,3.0,3.0,3.396288209606987,3.373529411764706,3,7,3.0
14867,2000.0,King of the Jungle,3.31739879414298,3.2211538461538463,4.0,87,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,3,7,4.0
14918,2001.0,Gosford Park,3.235058764691173,3.2211538461538463,4.0,131,3.0,3.0,3.0,3.2925764192139737,3.289705882352941,105,8,3.0
14940,2004.0,Without a Paddle,3.2276261373035564,3.3125,4.0,95,3.0,3.0,3.0,3.2925764192139737,3.480392156862745,0,6,3.0
14999,2003.0,Monster,3.4544358311800174,3.2211538461538463,4.0,109,4.0,4.0,3.875,3.2925764192139737,3.3595588235294116,50,8,4.0
15107,2001.0,Ocean's Eleven,3.3055555555555554,3.3125,4.0,116,3.0,3.0,3.0,3.1345625101083616,3.2941176470588234,24,8,3.0
15116,2004.0,Miracle,3.5470284237726095,3.4444444444444446,4.0,135,4.0,4.0,3.5,3.2925764192139737,3.3470588235294114,4,8,4.0
15151,2004.0,Walking Tall,3.2097026604068857,3.3125,4.0,86,4.0,3.666666666666667,3.875,3.2925764192139737,3.2941176470588234,2,7,4.0
15205,2004.0,The Day After Tomorrow,3.2503430841459013,3.3125,4.0,124,4.0,4.0,3.75,3.351418509649246,3.2941176470588234,17,7,4.0
15409,2004.0,Eurotrip,3.1538461538461537,3.2211538461538463,4.0,93,3.0,3.0,3.0,3.318313263640774,3.1470588235294117,2,7,3.0
15474,2001.0,Rock Star,3.3705426356589148,3.2211538461538463,4.0,105,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,1,7,3.0
15481,2001.0,See Spot Run,3.191083824886642,3.4444444444444446,4.0,94,3.0,3.0,3.0,3.146288209606987,3.2720588235294117,1,6,3.0
15582,2002.0,Sweet Home Alabama,3.2019230769230766,3.3125,4.0,108,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,9,7,3.0
15712,2003.0,Cradle 2 the Grave,3.2534968640438673,3.2211538461538463,4.0,101,3.0,3.111111111111111,3.1666666666666665,3.208636584182436,3.2941176470588234,6,6,3.0
15815,2002.0,Changing Lanes,3.3649870801033592,3.2211538461538463,4.0,98,3.0,3.0,3.0833333333333335,3.2925764192139737,3.2941176470588234,7,7,3.0
15887,2004.0,Van Helsing,3.2985915492957747,3.3125,4.0,131,4.0,4.0,3.75,3.771288209606987,3.1470588235294117,19,6,4.0
15919,2004.0,Hellboy,3.213875847678665,3.3125,4.0,122,2.5,3.0,3.0,3.396288209606987,3.2941176470588234,25,7,3.0
15969,2001.0,Out Cold,3.276923076923077,3.3125,4.0,89,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,0,7,3.0
16082,2004.0,13 Going on 30,3.1346153846153846,3.3125,4.0,98,3.0,3.0,3.125,3.2462882096069867,3.2941176470588234,11,7,3.0
16209,2001.0,Enigma,3.240039176460782,3.2211538461538463,4.0,119,2.0,3.0,3.0,3.373560936879714,3.273529411764706,8,7,3.0
16236,2000.0,The Gift,3.2618432385874248,3.2211538461538463,4.0,111,3.5,4.0,4.0,3.2925764192139737,3.2941176470588234,8,7,4.0
16262,2005.0,Assault on Precinct 13,3.2534968640438673,3.2211538461538463,4.0,109,3.0,3.0,2.9166666666666665,3.146288209606987,3.416289592760181,3,7,3.0
16286,2002.0,Red Dragon,3.31739879414298,3.2211538461538463,4.0,124,3.0,3.0,2.7916666666666665,3.3129548762736536,3.3595588235294116,14,8,3.0
16357,2005.0,Hide and Seek,3.3048539912755968,3.2211538461538463,4.0,101,3.0,3.0,3.2083333333333335,3.2925764192139737,3.3595588235294116,6,6,3.0
16380,2004.0,Laws of Attraction,3.2019230769230766,3.3125,4.0,90,4.0,4.0,3.875,3.2925764192139737,3.4888888888888885,2,6,4.0
16390,2002.0,Panic Room,3.31739879414298,3.2211538461538463,4.0,112,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,10,7,3.0
16565,2001.0,K-Pax,3.2079878944095,3.3125,4.0,120,4.0,4.0,3.7916666666666665,3.2925764192139737,3.3595588235294116,3,8,4.0
16641,2001.0,Corky Romano,3.1880341880341883,3.3125,4.0,86,3.0,3.0,2.875,3.089273137061558,3.2941176470588234,1,5,3.0
16707,2003.0,Old School,3.1538461538461537,3.2211538461538463,4.0,88,4.0,4.6,3.9583333333333335,3.2925764192139737,3.2941176470588234,5,8,5.0
16887,2002.0,Paid in Full,3.2534968640438673,3.2211538461538463,4.0,97,3.5,3.0,3.25,3.2925764192139737,3.2941176470588234,1,8,3.0
16930,2002.0,The Tuxedo,3.1682918020946187,3.3125,4.0,98,2.0,2.2,2.1666666666666665,3.146288209606987,3.2941176470588234,3,6,2.0
16969,2001.0,Donnie Darko,3.2946067713509577,3.2211538461538463,4.0,113,3.0,3.0,3.25,3.2925764192139737,3.2941176470588234,26,9,3.0
17023,2001.0,Bandits,3.2390512157954023,3.3125,4.0,123,5.0,5.0,4.116666666666667,3.2925764192139737,3.2941176470588234,11,7,5.0
17207,2003.0,Veronica Guerin,3.4544358311800174,3.2211538461538463,4.0,98,3.0,4.0,4.0,3.2925764192139737,3.445261437908497,17,7,4.0
17330,2004.0,The Punisher,3.2534968640438673,3.2211538461538463,4.0,124,3.0,3.0,3.0,3.2925764192139737,3.3595588235294116,6,7,3.0
17358,2002.0,Narc,3.2307799172015224,3.2211538461538463,4.0,105,3.0,3.0,3.0,3.178546274123116,3.3470588235294114,9,8,3.0
17361,2004.0,Johnson Family Vacation,3.1538461538461537,3.3125,4.0,97,3.0,3.0,3.125,3.2925764192139737,3.2941176470588234,3,5,3.0
17387,2002.0,Secretary,3.248310475054661,3.2211538461538463,4.0,104,4.0,4.0,3.875,3.2925764192139737,3.2941176470588234,41,8,4.0
17472,1973.0,Magnum Force,3.1828125262927625,3.2211538461538463,4.0,124,2.0,2.0,2.1666666666666665,3.2925764192139737,3.2941176470588234,0,8,2.0
17479,2002.0,The Ring,3.2867383512544803,3.3125,4.0,115,4.0,3.75,4.0,3.2925764192139737,3.3470588235294114,25,8,4.0
17508,2000.0,Requiem for a Dream,3.3410852713178296,3.2211538461538463,4.0,102,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,94,9,4.0
17540,2001.0,Son of the Bride,3.2474657125819917,3.2211538461538463,4.0,123,1.0,1.0,1.0,3.064516129032258,1.75,45,8,1.0
17555,2002.0,The Kid Stays in the Picture,3.4555555555555557,3.2211538461538463,4.0,93,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,16,8,3.0
17559,2001.0,The Deep End,3.2307799172015224,3.2211538461538463,4.0,101,3.0,3.0,3.0,3.2925764192139737,3.2941176470588234,23,7,3.0
17589,2000.0,The Cell,3.3290598290598292,3.2211538461538463,4.0,107,5.0,5.0,4.666666666666666,3.2925764192139737,3.3595588235294116,30,7,5.0
17622,2001.0,Vanilla Sky,3.1263440860215055,3.2211538461538463,4.0,136,1.0,1.0,2.1666666666666665,3.178546274123116,2.6470588235294117,38,7,1.0
17692,2002.0,Scooby-Doo,3.3897435897435897,3.4444444444444446,4.0,86,3.3333333333333335,4.0,3.9166666666666665,3.2925764192139737,3.2720588235294117,11,5,4.0
17761,2003.0,Levity,3.2816537467700257,3.2211538461538463,4.0,100,3.0,3.0,3.2625,3.2925764192139737,3.416289592760181,1,7,3.0
17768,2000.0,Epoch,3.179422789969793,3.5,4.0,0,4.0,4.0,4.0,3.2925764192139737,3.2941176470588234,0,8,4.0
